NIT,ciiu,TOTAL ACTIVO CORRIENTE,TOTAL ACTIVO,TOTAL PASIVO CORRIENTE,TOTAL PASIVO,TOTAL PATRIMONIO,UTILIDAD,INTERESES,Ingresos,Tamaño Empresarial
805020838,"C1521 - Fabricación de calzado de cuero y piel, con cualquier tipo de suela",4868476000,8137147000,2482495000,4207284000,3929863000,5095101000,369044000,13349186000,Mediana empresa
805021170,"C1410 - Confección de prendas de vestir, excepto prendas de piel",31485134000,42858017000,18022111000,30693149000,12164868000,14674532000,3420780000,69524040000,Gran empresa
805022296,"C1410 - Confección de prendas de vestir, excepto prendas de piel",96599041000,1.56338E+11,79060265000,94485861000,61851675000,85365613000,0,1.77068E+11,Gran empresa
805023451,C2599 - Fabricación de otros productos elaborados de metal n.c.p.,3944360000,5941207000,2716247000,3742156000,2199051000,2346917000,358529000,7781784000,Pequeña empresa
805024889,"C1410 - Confección de prendas de vestir, excepto prendas de piel",1158122000,3320620000,1103444000,1624131000,1696489000,1176734000,158419000,5160969000,Pequeña empresa
805024933,G4774 - Comercio al por menor de otros productos nuevos en establecimientos especializados,8189437000,8251489000,1416889000,1416889000,6834600000,4017962000,286018000,15827038000,Pequeña empresa
805025495,C1313 - Acabado de productos textiles,1931590000,3219027000,268512000,268512000,2950515000,153800000,30451000,885447000,Microempresa
805026720,"C1410 - Confección de prendas de vestir, excepto prendas de piel",1966812000,2353216000,809391000,1401651000,951565000,1685557000,0,3290573000,Pequeña empresa
805027653,G4771 - Comercio al por menor de prendas de vestir y sus accesorios (incluye artículos de piel) en establecimientos especializados,54171368000,81566882000,34222813000,55849201000,25717681000,36539019000,5322250000,91632853000,Mediana empresa
805027939,G4772 - Comercio al por menor de todo tipo de calzado y artículos de cuero y sucedáneos del cuero en establecimientos especializados,15172577000,23441078000,11282544000,17645027000,5796051000,11143319000,757995000,32115675000,Mediana empresa
805029656,"C1410 - Confección de prendas de vestir, excepto prendas de piel",3002248000,3810952000,1595751000,1886882000,1924070000,1778224000,192867000,8675757000,Mediana empresa
806004491,G4774 - Comercio al por menor de otros productos nuevos en establecimientos especializados,11201402000,12078288000,4987201000,8304291000,3773997000,2245601000,408413000,17681900000,Mediana empresa
806005089,G4772 - Comercio al por menor de todo tipo de calzado y artículos de cuero y sucedáneos del cuero en establecimientos especializados,4490201000,5131542000,1106520000,1127372000,4004170000,4605553000,174069000,12440716000,Pequeña empresa
806008091,C2229 - Fabricación de artículos de plástico n.c.p.,2841545000,3355341000,750430000,750430000,2604911000,2350421000,0,6591315000,Pequeña empresa
806008716,G4759 - Comercio al por menor de otros artículos domésticos en establecimientos especializados,1763243000,2842575000,614994000,1992544000,850031000,1396796000,142288000,6858555000,Pequeña empresa
806009442,C2599 - Fabricación de otros productos elaborados de metal n.c.p.,34280525000,40445061000,31346155000,33751255000,6693806000,12157648000,4580170000,55038964000,Mediana empresa
806012349,C2229 - Fabricación de artículos de plástico n.c.p.,8093003000,16031783000,5461697000,10266989000,5764794000,4398786000,1628890000,22147239000,Mediana empresa
809009265,"C1410 - Confección de prendas de vestir, excepto prendas de piel",7301488000,8001762000,2599687000,2600346000,5401416000,3012228000,113160000,19967088000,Mediana empresa
810000759,C2229 - Fabricación de artículos de plástico n.c.p.,512288000,3174404000,352479000,855492000,2318912000,328627000,2083000,999495000,Pequeña empresa
810004621,C2229 - Fabricación de artículos de plástico n.c.p.,1648363000,4640780000,1414579000,2816485000,1824295000,899499000,187446000,5619548000,Pequeña empresa
811004594,"C1410 - Confección de prendas de vestir, excepto prendas de piel",4520764000,5085825000,2901069000,2901069000,2184756000,2546935000,0,17734692000,Mediana empresa
811005323,G4774 - Comercio al por menor de otros productos nuevos en establecimientos especializados,2957336000,3064878000,2189130000,2189130000,875748000,126648000,0,6050743000,Pequeña empresa
811005805,G4771 - Comercio al por menor de prendas de vestir y sus accesorios (incluye artículos de piel) en establecimientos especializados,2933031000,5023633000,2028667000,3595778000,1427855000,2999917000,0,5231040000,Pequeña empresa
811006706,C1313 - Acabado de productos textiles,19542358000,35686961000,4253170000,12560806000,23126155000,6868512000,774662000,41998656000,Mediana empresa
811007412,"C1392 - Confección de artículos con materiales textiles, excepto prendas de vestir",10469625000,19565270000,2958416000,4394056000,15171214000,7252478000,883120000,18325186000,Mediana empresa
811007425,G4772 - Comercio al por menor de todo tipo de calzado y artículos de cuero y sucedáneos del cuero en establecimientos especializados,7778066000,9428321000,3433200000,4617216000,4811105000,5436100000,251260000,17176015000,Mediana empresa
811007678,"C1410 - Confección de prendas de vestir, excepto prendas de piel",22888798000,30520610000,14977218000,24139987000,6380623000,7799588000,3171595000,53826894000,Mediana empresa
811007991,"C1410 - Confección de prendas de vestir, excepto prendas de piel",60385330000,1.05672E+11,47682854000,66225934000,39446273000,65447371000,3882705000,1.67437E+11,Gran empresa
811008012,G4771 - Comercio al por menor de prendas de vestir y sus accesorios (incluye artículos de piel) en establecimientos especializados,40803897000,47312283000,17029372000,21779647000,25532636000,20335801000,1616290000,47127515000,Mediana empresa
811009524,G4759 - Comercio al por menor de otros artículos domésticos en establecimientos especializados,8815041000,11025697000,5304216000,5304216000,5721481000,4658770000,245567000,58435012000,Mediana empresa
811010679,C2229 - Fabricación de artículos de plástico n.c.p.,19943020000,31710754000,9116726000,14116726000,17594028000,7184245000,0,62624694000,Mediana empresa
811010705,C2229 - Fabricación de artículos de plástico n.c.p.,10905876000,21368073000,9494658000,13380909000,7987164000,5099692000,1495753000,32478080000,Mediana empresa
811010839,G4774 - Comercio al por menor de otros productos nuevos en establecimientos especializados,6084993000,6114976000,568312000,568312000,5546664000,1395311000,17384000,3932446000,Pequeña empresa
811010978,G4774 - Comercio al por menor de otros productos nuevos en establecimientos especializados,10784645000,11373772000,4958298000,9122005000,2251767000,8400787000,722824000,28232686000,Mediana empresa
811012453,C2599 - Fabricación de otros productos elaborados de metal n.c.p.,4605425000,6487766000,1423887000,4819446000,1668320000,848261000,118320000,3132819000,Pequeña empresa
811012912,C2229 - Fabricación de artículos de plástico n.c.p.,10437222000,13309483000,7643577000,8528044000,4781439000,7469987000,1398843000,26348386000,Mediana empresa
811014540,"C1410 - Confección de prendas de vestir, excepto prendas de piel",2874722000,4018546000,549891000,912758000,3105788000,1316727000,33838000,3880698000,Pequeña empresa
811016504,G4774 - Comercio al por menor de otros productos nuevos en establecimientos especializados,6865689000,11150168000,3492611000,6314758000,4835410000,1828200000,537725000,6377825000,Pequeña empresa
811021772,"C1410 - Confección de prendas de vestir, excepto prendas de piel",53935734000,66236672000,25697238000,44912167000,21324505000,15981905000,7746475000,1.05246E+11,Gran empresa
811022408,C2229 - Fabricación de artículos de plástico n.c.p.,12445987000,18668673000,12178537000,13038722000,5629951000,6082352000,1318922000,32015795000,Mediana empresa
811023799,C1313 - Acabado de productos textiles,15379070000,22226501000,10739219000,13834845000,8391656000,6146329000,675680000,35582565000,Mediana empresa
811024201,"C1410 - Confección de prendas de vestir, excepto prendas de piel",10270667000,11881112000,1306920000,2141562000,9739550000,4738938000,257368000,14301635000,Mediana empresa
811024583,"C1410 - Confección de prendas de vestir, excepto prendas de piel",6337718000,9312173000,2899473000,7345130000,1967043000,4726995000,704773000,14239386000,Mediana empresa
811025918,G4759 - Comercio al por menor de otros artículos domésticos en establecimientos especializados,6049088000,6275036000,901026000,901026000,5374010000,5494529000,247988000,13560994000,Pequeña empresa
811027239,"C1410 - Confección de prendas de vestir, excepto prendas de piel",11454936000,15489329000,5200853000,8985619000,6503710000,8523645000,1209596000,28269151000,Mediana empresa
811027420,"C1410 - Confección de prendas de vestir, excepto prendas de piel",1078925000,1282292000,231054000,535334000,746958000,559382000,33249000,2295539000,Pequeña empresa
811027425,C2229 - Fabricación de artículos de plástico n.c.p.,8767092000,30884064000,6694204000,16744706000,14139358000,11718670000,1635016000,29731434000,Mediana empresa
811027757,"C1410 - Confección de prendas de vestir, excepto prendas de piel",3746431000,6275875000,1826594000,1826594000,4449281000,1509174000,0,10288910000,Mediana empresa
