LI,NE,RCI,RP,RA,CT,%K
2.651218471,0.375743541,10,1.11041912,0.693186308,1.09616E+11,122.4757151
1.72516263,0.473828421,4.699452851,0.314531137,0.165497345,31412874000,35.09818324
1.802249216,0.539968763,5.039357542,0.818438034,0.376507061,33953251000,37.9365933
1.215698625,0.663276911,7.097488678,0.533286278,0.179569803,9867911000,11.02559888
1.366774054,0.748392766,1.483684593,2.239120963,0.563379032,9295917000,10.38649944
1.051041647,0.478989231,32.10103025,0.371532921,0.193572653,1735904000,1.939557542
1.184849298,0.732689502,16.37802985,5.094215863,1.361737381,4678186000,5.227023464
3.831053523,0.492039581,44.07852748,0.827379611,0.420276094,4477079000,5.002322905
1.918409722,0.364930293,90.41191537,0.728703219,0.46277734,1.6694E+11,186.525467
1.250031377,0.592660904,2.612442978,0.457761804,0.18646428,42793320000,47.81376536
1.456434063,0.632536104,5.425855035,0.618465366,0.227263693,2.30455E+11,257.4911832
1.249437461,0.503769146,14.5211711,0.297902114,0.14782822,8027677000,8.969471508
1.066445376,0.714896029,3.344704741,0.779679532,0.222289731,3496260000,3.906435754
1.157705513,0.54970637,4.401957747,0.41683902,0.187699955,17612115000,19.67834078
1.768540573,0.38990829,14.35474695,0.531862212,0.324484726,38118465000,42.59046369
1.411646769,0.964891306,1.504637355,6.915357265,0.242789163,79429772000,88.7483486
1.092528787,0.789907545,2.664764004,1.341520356,0.281843305,460882000,0.514951955
2.167190698,0.806495799,2.876556257,1.375634193,0.266190996,48859052000,54.59111955
2.110885752,0.438134947,2.517425948,0.446036756,0.250612466,13574464000,15.16699888
1.5443561,0.688873757,7.040412841,0.822434041,0.255880813,13868789000,15.49585363
1.750383339,0.643718239,3.413132609,0.860214107,0.306478597,14402734000,16.09244022
1.606805365,0.495769691,3.247886654,0.265125283,0.133684203,39436967000,44.06365028
1.652708921,0.60239424,3.805226763,0.61699632,0.245321291,67296804000,75.19195978
1.358702493,0.838843096,9.142642804,4.532551752,0.730452007,34821075000,38.90622905
2.923506328,0.413742828,13.63736103,0.610215158,0.357743013,44353288000,49.55674637
1.372135383,0.610638396,2.192011753,0.523123866,0.203684347,21241200000,23.73318436
1.424316665,0.271957862,10,0.272561752,0.198436441,5087951000,5.684861453
1.367261442,0.641427759,1.589908,1.17585922,0.421630476,39171856000,43.76743687
1.931238603,0.459927668,36.96591984,1.299359965,0.701748366,1.2917E+11,144.3239955
3.388738854,0.433220053,6.93895772,0.69966693,0.396557185,30292744000,33.84664134
2.118758685,0.256063695,37.09348503,1.300915958,0.96779861,9862698000,11.0197743
1.828581884,0.680995996,131.0410795,1.881126461,0.600086873,4261332000,4.761264804
2.795701927,0.275582184,27.58462509,0.41333822,0.299429571,5479263000,6.122081564
1.496645134,0.566990843,49.39018479,2.1241313,0.919768304,8218067000,9.182197765
1.373166045,0.437963219,10.36210957,1.118686879,0.628743172,1573252000,1.757823464
3.605121816,0.562207274,329.0801619,2.073388071,0.907714215,28202447000,31.51111397
1.688581162,0.68076298,18.19487664,2.672974628,0.853312454,3818752000,4.266762011
1.882022884,0.55376814,7.44988233,1.020906396,0.45556096,1526846000,1.705973184
1.324997845,0.576300345,3.867583748,0.744049179,0.315253381,429757000,0.480175419
1.603684127,0.553887678,6.017275265,0.882413815,0.393655676,8771831000,9.800928492
1.101042129,0.664986993,3.979540624,1.048624135,0.351302725,1630921000,1.822258101
2.43799868,0.358910008,58.53200944,0.508724868,0.326138422,7386726000,8.25332514
1.228340193,0.762531701,1.079324903,0.260953585,0.061968204,3347525000,3.740251397
1.530670554,0.563644669,10,0.514379262,0.224452133,5142238000,5.745517318
1.775539145,0.314570786,23.46766178,0.346518384,0.237513824,20661029000,23.0849486
4.057162492,0.208041906,10,0.3157185,0.250035821,747357000,0.835035754
3.942115585,0.287373842,10,0.003676201,0.002619757,5043910000,5.635653631
2.652968664,0.224508584,34.05204244,0.789619818,0.61234339,3679900000,4.111620112
2.769017499,0.349375933,11.98189081,0.715061937,0.465236506,15636795000,17.47127933
2.395807946,0.402053558,46.61911785,0.849276259,0.507821717,58099759000,64.91593184
4.325679399,0.281933427,10,0.481703458,0.345895151,1994237000,2.228197765
1.666853067,0.484312378,7.502161234,0.669430336,0.345216938,1295066000,1.447001117
1.503948356,0.563905968,15.47269674,1.568896088,0.684186222,5441462000,6.07984581
5.224039638,0.247774893,12.0718424,0.562621317,0.423217881,21678857000,24.22218659
1.451962718,0.67946897,23.35189153,4.646951868,1.489492269,3333296000,3.724353073
2.454964954,0.828885404,11.94035574,7.266927033,1.243477282,3942552000,4.405086034
1.596250603,0.726958681,1.386985882,0.250752148,0.068465697,14922148000,16.67279106
1.946529878,0.679525928,4.279660125,1.478952,0.47396577,746123000,0.833656983
1.291884538,0.7252486,17.53188034,1.082207651,0.297338068,2266787000,2.532722905
2.755116921,0.507460751,13.65513334,1.036180935,0.51035978,2.22182E+11,248.2479162
1.509251592,0.509732961,9.209123398,0.587965408,0.28826006,4335297000,4.843907263
2.218777841,0.367657844,81.9534945,0.182733131,0.115549862,11325838000,12.6545676
1.839417034,0.684447884,16.98338442,0.061196387,0.019310649,1891173000,2.113042458
1.145288764,0.46715698,10,1.058754657,0.564150028,204182000,0.228136313
1.524940549,0.633679087,9.634793936,0.907363179,0.332386109,3896619000,4.353764246
1.291884538,0.7252486,17.53188034,1.082207651,0.297338068,2266787000,2.532722905
1.129306509,0.581283248,4.699498864,0.938482049,0.392958155,1631356000,1.822744134
1.098635173,0.70469288,9.543277565,1.519629661,0.448757459,381987000,0.426801117
2.018743853,0.573162102,4.106863395,0.783503079,0.334428808,3635581000,4.062101676
1.962164412,0.724707243,8.252675039,1.187680727,0.326959902,12476969000,13.94074749
4.920236707,0.436186173,10.97922904,1.191918729,0.67202026,1062588000,1.187249162
24.82102809,0.040253117,10,0.06590939,0.063256331,1338313000,1.495321788
4.657824922,0.265302264,15.90222736,0.50165576,0.368565351,5993540000,6.696692737
4.545384051,0.195926289,10,0.165497146,0.133071904,6254607000,6.988387709
1.649259785,0.182089761,10,0.133026664,0.10880387,1312615000,1.466608939
1.1673638,0.887888937,2.325366701,3.31330074,0.371457668,3960504000,4.425144134
1.855503955,0.469680291,10,0.103459157,0.05486643,1752795000,1.958430168
1.416101307,0.903430583,15.80063118,8.835539061,0.853242858,1224448000,1.368098324
2.192503319,0.363370005,14.72110477,0.764636369,0.486790448,6780872000,7.576393296
28.81581218,0.473434863,10,0.047831973,0.02518665,1869612000,2.088951955
2.524275808,0.102798725,8.524203519,0.025971388,0.023301562,291251000,0.325420112
