NIT,ciiu,TOTAL ACTIVO CORRIENTE,TOTAL ACTIVO,TOTAL PASIVO CORRIENTE,TOTAL PASIVO,TOTAL PATRIMONIO,UTILIDAD,INTERESES,Ingresos,Tamaño Empresarial
830023518,"G4530 - Comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores",6693988000,7293362000,4449700000,4490470000,2802892000,4498663000,160845000,15251219000,Pequeña empresa
830025988,"G4530 - Comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores",2405970000,2424950000,1076277000,1114543000,1310407000,887550000,0,4339500000,Pequeña empresa
830026329,"G4530 - Comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores",5425969000,5822322000,1921650000,1989714000,3832608000,2978484000,302503000,9602730000,Pequeña empresa
830027209,"G4530 - Comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores",873577000,901583000,483912000,483912000,417671000,403557000,0,1687743000,Microempresa
830030247,"G4530 - Comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores",1636526000,1870717000,814111000,814111000,1056606000,486751000,0,3478065000,Pequeña empresa
830034218,"G4530 - Comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores",754314000,2671992000,29065000,1549765000,1122227000,193209000,0,264918000,Microempresa
830035317,"G4530 - Comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores",1531565000,1532145000,180551000,839570000,692575000,579336000,123111000,2963214000,Pequeña empresa
830038152,"G4530 - Comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores",42407066000,56747159000,46672383000,48140628000,8606531000,16564089000,7854960000,65261651000,Mediana empresa
830038886,"G4530 - Comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores",9243440000,9340690000,1638704000,1638704000,7701986000,2782691000,0,5206727000,Pequeña empresa
830040791,"G4530 - Comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores",2363593000,3353340000,880560000,880560000,2472780000,1041145000,0,3777080000,Pequeña empresa
830041038,"G4530 - Comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores",1730951000,2294918000,775877000,870517000,1424401000,935895000,0,2129385000,Pequeña empresa
830041645,"G4530 - Comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores",286821000,289691000,8569000,8569000,281122000,27423000,0,51025000,Microempresa
830045253,"G4530 - Comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores",44643011000,55053687000,26067360000,29122500000,25931187000,22217724000,0,61717939000,Mediana empresa
830046596,"G4530 - Comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores",1204047000,1204283000,621570000,621570000,582713000,285950000,0,1238491000,Microempresa
830047272,G4520 - Mantenimiento y reparación de vehículos automotores,3875086000,5060800000,2020352000,2020352000,3040448000,2674357000,272269000,8767052000,Mediana empresa
830048991,"G4530 - Comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores",13154715000,16502701000,6243920000,7196473000,9306228000,7280777000,454819000,19891465000,Mediana empresa
830052405,G4520 - Mantenimiento y reparación de vehículos automotores,1881285000,4750049000,501035000,2869253000,1880796000,1180384000,0,1180384000,Microempresa
830056873,"G4530 - Comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores",3353357000,3758367000,1013253000,1413153000,2345214000,1064910000,25560000,2404616000,Pequeña empresa
830057215,"G4530 - Comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores",630472000,1139372000,28087000,28087000,1111285000,257480000,20123000,600503000,Microempresa
830058959,"G4530 - Comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores",6523487000,6997728000,2680813000,3189543000,3808185000,4419479000,0,13395185000,Pequeña empresa
830063734,G4520 - Mantenimiento y reparación de vehículos automotores,194474000,247605000,18241000,72180000,175425000,329394000,0,861900000,Microempresa
830065924,"G4530 - Comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores",3055764000,3954835000,941267000,1934535000,2020300000,1216666000,74413000,3748263000,Pequeña empresa
830066009,"G4530 - Comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores",4293490000,4610238000,1422525000,2945390000,1664848000,1541691000,170222000,5841053000,Pequeña empresa
830066394,"G4530 - Comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores",3119544000,4672156000,1340009000,1340009000,3332147000,1384858000,0,4587518000,Pequeña empresa
830067482,"G4530 - Comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores",6480130000,6641269000,4206137000,4206137000,2435132000,3913588000,314855000,16228212000,Pequeña empresa
830067663,"G4530 - Comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores",1083370000,1106813000,167889000,278907000,827906000,683969000,30692000,1238445000,Microempresa
830068115,"G4530 - Comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores",2432594000,3404968000,268399000,268399000,3136569000,982376000,11075000,2737960000,Pequeña empresa
