No,Liquidez,Nivel_Endeudamiento,Razón-Cobertura_de_intereses,Rentabilidad del Patrimonio,Rentabilidad del Activo,Capital_de_Trabajo,%K
152,2.633231357,0.457896101,9.261847373,67%,0.363879143," 2,594,014,000.00 ",8.646713333
153,1.059627323,0.582387833,10,274%,1.143213239," 12,611,000.00 ",0.042036667
154,1.653955396,0.605189124,21.70866449,215%,0.849827869," 5,280,835,000.00 ",17.60278333
155,8.607743796,0.110995183,49.05999804,29%,0.259873509," 3,249,488,000.00 ",10.83162667
156,1.394471023,0.700065218,3.937979885,82%,0.24525485," 233,259,000.00 ",0.77753
157,2.041080016,0.455767523,12.89234621,154%,0.84082399," 431,232,000.00 ",1.43744
158,3.615158537,0.458114946,10,24%,0.128252545," 2,245,872,000.00 ",7.48624
159,1.472667535,0.806071644,10,120%,0.23345881," 3,435,817,000.00 ",11.45272333
160,2.079016369,0.487072985,10,320%,1.643830039," 1,060,904,000.00 ",3.536346667
161,1.652875943,0.422311751,30.15122431,87%,0.500967361," 2,133,137,000.00 ",7.110456667
162,2.617294834,0.657654153,10,71%,0.244407398," 5,738,361,000.00 ",19.12787
163,1.472853059,0.68128948,15.87374601,146%,0.466745235," 19,421,523,000.00 ",64.73841
164,5.033843139,0.520448824,19.97888981,128%,0.613938243," 1,831,748,000.00 ",6.105826667
165,4.702600051,0.433248921,10,39%,0.221643827," 23,084,408,000.00 ",76.94802667
166,3.287282125,0.763898184,4.09727706,161%,0.381044731," 22,090,493,000.00 ",73.63497667
167,2.141684067,0.39447559,18.02423478,37%,0.223652862," 1,235,736,000.00 ",4.11912
168,1.160783114,0.721745212,9.779336893,231%,0.642509906," 1,080,609,000.00 ",3.60203
169,7.231384546,0.094158495,3.197710185,58%,0.52905689," 6,660,540,000.00 ",22.2018
170,3.978387101,0.236110713,40.8281731,85%,0.64674154," 7,801,611,000.00 ",26.00537
171,2.654189029,0.674988663,10,42%,0.136296935," 12,463,431,000.00 ",41.54477
172,4.870738344,0.194537729,20.63021589,83%,0.666593601," 1,092,423,000.00 ",3.64141
173,1.407629808,0.551794755,10,199%,0.892860391," 130,744,000.00 ",0.435813333
174,1.52362714,0.61098379,2.952778079,41%,0.160207553," 979,975,000.00 ",3.266583333
175,0.452048961,0.365905689,10,4%,0.027127747," (1,199,284,000.00)",-3.997613333
176,2.167846661,0.420157568,11.23465485,71%,0.409374642," 9,274,696,000.00 ",30.91565333
177,1.078764195,0.872330308,7.374693593,206%,0.262621573," 455,548,000.00 ",1.518493333
178,1.609723208,0.599733836,11.57823736,164%,0.655183223," 1,683,861,000.00 ",5.61287
179,5.489695571,0.104715115,8.157561925,53%,0.478201437," 987,962,000.00 ",3.293206667
180,2.123584358,0.461309967,5.719467074,67%,0.362988316," 4,181,272,000.00 ",13.93757333
181,2.283673926,0.435059301,10,88%,0.494873301," 2,669,984,000.00 ",8.899946667
182,3.750397029,0.242430925,11.91309347,85%,0.641902471," 3,377,130,000.00 ",11.2571
183,1.412998867,0.840361832,10,171%,0.27289733," 986,340,000.00 ",3.2878
184,2.41631324,0.562064071,10,135%,0.593383919," 3,154,808,000.00 ",10.51602667
185,5.918890364,0.488185291,6.547123488,84%,0.430965538," 507,477,000.00 ",1.69159
186,2.400964421,0.542427071,5.539663295,72%,0.328733704," 1,320,748,000.00 ",4.402493333
187,1.45220235,0.846296766,10,348%,0.534904998," 738,531,000.00 ",2.46177
188,12.85371014,0.628148691,58.48473009,133%,0.494764908," 4,812,713,000.00 ",16.04237667
189,2.037755118,0.482722351,51.59666546,97%,0.503807527," 1,415,471,000.00 ",4.718236667
190,1.04114701,0.681033404,9.562470595,123%,0.391547233," 144,080,000.00 ",0.480266667
191,2.912949248,0.271324185,10,27%,0.197834494," 1,278,072,000.00 ",4.26024
192,1.777725499,0.586884932,11.20353293,211%,0.870255231," 310,755,000.00 ",1.03585
193,1.148319941,0.808690855,10,159%,0.304713355," 315,928,000.00 ",1.053093333
194,2.429510285,0.432024052,10,47%,0.264546832," 8,971,638,000.00 ",29.90546
195,1.468633836,0.709577821,7.46994961,121%,0.350711494," 1,923,068,000.00 ",6.410226667
196,2.423004915,0.443301064,10,41%,0.22723778," 722,064,000.00 ",2.40688
197,2.541312297,0.36565891,19.84935403,66%,0.42060374," 1,585,736,000.00 ",5.285786667
198,1.504368384,0.615692735,27.96893282,161%,0.616816086," 2,244,288,000.00 ",7.48096
199,2.235456114,0.459614837,10,68%,0.366007547," 1,329,693,000.00 ",4.43231
200,2.82359899,0.341738914,9.846130452,78%,0.511562913," 3,504,319,000.00 ",11.68106333
201,1.805239382,0.536735941,10,97%,0.447609372," 389,665,000.00 ",1.298883333
202,2.010200083,0.435186616,10,46%,0.260194888," 822,415,000.00 ",2.741383333
203,25.95265784,0.580003608,10,17%,0.072308974," 725,249,000.00 ",2.417496667
204,8.482727872,0.547970329,4.705802081,84%,0.37812087," 1,351,014,000.00 ",4.50338
205,0.908611544,0.848335473,2.108742629,192%,0.291892833," (4,265,317,000.00)",-14.21772333
206,5.640701432,0.175437147,10,36%,0.297910647," 7,604,736,000.00 ",25.34912
207,2.684193014,0.262591923,10,42%,0.310479999," 1,483,033,000.00 ",4.943443333
208,2.230960578,0.379323793,10,66%,0.407811957," 955,074,000.00 ",3.18358
209,33.47193371,0.029579794,10,10%,0.094662934," 278,252,000.00 ",0.927506667
210,1.712601928,0.528983645,10,86%,0.403564688," 18,575,651,000.00 ",61.91883667
211,1.937106038,0.516132836,10,49%,0.237444189," 582,477,000.00 ",1.94159
212,1.918025176,0.399215934,9.822480708,88%,0.528445503," 1,854,734,000.00 ",6.182446667
213,2.106803899,0.436078494,16.00807574,78%,0.441186991," 6,910,795,000.00 ",23.03598333
214,3.754797569,0.604047032,10,63%,0.248499331," 1,380,250,000.00 ",4.600833333
215,3.309496246,0.376001865,41.66314554,45%,0.283343803," 2,340,104,000.00 ",7.800346667
216,22.44711076,0.024651299,12.79530885,23%,0.225984139," 602,385,000.00 ",2.00795
217,2.433398749,0.455796939,10,116%,0.631559129," 3,842,674,000.00 ",12.80891333
218,10.66136725,0.291512692,10,188%,1.33032047," 176,233,000.00 ",0.587443333
219,3.246436983,0.489156943,16.35018075,60%,0.307640142," 2,114,497,000.00 ",7.048323333
220,3.018217606,0.638880249,9.056943286,93%,0.334405946," 2,870,965,000.00 ",9.569883333
221,2.328002275,0.286807418,10,42%,0.296406627," 1,779,535,000.00 ",5.931783333
222,1.540636931,0.633333328,12.42981055,161%,0.589283163," 2,273,993,000.00 ",7.579976667
223,6.452894472,0.251991077,22.28492767,83%,0.617962565," 915,481,000.00 ",3.051603333
224,9.063349714,0.078825704,88.7021219,31%,0.28851255," 2,164,195,000.00 ",7.213983333
225,8.237972835,0.426536315,4.576043561,42%,0.24252781," 18,902,603,000.00 ",63.00867667
226,2.824604029,0.32030441,9.331350525,67%,0.452283789," 5,521,104,000.00 ",18.40368
227,1.657777082,0.585726564,5.689520304,86%,0.358300859," 8,667,278,000.00 ",28.89092667
228,8.226389959,0.104909178,10,15%,0.134942845," 8,907,176,000.00 ",29.69058667
229,0.314407278,0.479659284,10,18%,0.094203468," (1,104,108,000.00)",-3.68036
230,1.067437209,0.547322571,4.902189981,60%,0.272324648," 266,986,000.00 ",0.889953333
231,1.811581535,0.697531555,10,36%,0.109245892," 1,790,176,000.00 ",5.967253333
232,1.350887526,0.606213917,10,135%,0.531187314," 304,443,000.00 ",1.01481
233,1.527732201,0.772601927,10,253%,0.574268195," 11,124,104,000.00 ",37.08034667
234,3.968601527,0.25071705,10,56%,0.418648714," 796,645,000.00 ",2.655483333
235,5.15811289,0.449329423,10,91%,0.50181852," 1,199,811,000.00 ",3.99937
236,1.84158999,0.718668921,10,170%,0.478597941," 2,836,165,000.00 ",9.453883333
237,2.970840238,0.211022374,10,25%,0.198588774," 4,772,703,000.00 ",15.90901
238,1.750484317,0.549732058,22.25503438,130%,0.58341375," 899,526,000.00 ",2.99842
239,1.031154891,0.767558169,10,378%,0.878229858," 32,143,000.00 ",0.107143333
240,112.2268523,0.008094054,58.06955381,1%,0.01058468," 3,763,583,000.00 ",12.54527667
241,2.27536945,0.339079974,54.89951192,48%,0.319392166," 5,513,139,000.00 ",18.37713
242,2.469526696,0.394101763,79.78709348,134%,0.814267541," 1,738,888,000.00 ",5.796293333
243,9.131663081,0.247384889,26.21739156,61%,0.455775168," 25,427,003,000.00 ",84.75667667
244,1.606176196,0.631781847,10,12%,0.045974941," 1,769,044,000.00 ",5.896813333
245,2.174288956,0.48641824,10,101%,0.519950878," 19,801,855,000.00 ",66.00618333
246,2.641974992,0.378504718,10,29%,0.183271106," 1,282,059,000.00 ",4.27353
247,4.217956669,0.236886464,10,51%,0.391559247," 1,841,923,000.00 ",6.139743333
248,0.983684565,0.869216912,5.653028449,403%,0.527451298," (484,583,000.00)",-1.615276667
249,1.058939635,0.254325728,18.42424767,17%,0.130084592," 49,032,000.00 ",0.16344
250,2.738568872,0.557031528,3.008216156,81%,0.360211217," 34,148,024,000.00 ",113.8267467
251,1.945275552,0.591892605,4.810760696,47%,0.192430162," 17,774,106,000.00 ",59.24702
252,6.260274897,0.840163007,17.31002076,24%,0.037637776," 779,578,000.00 ",2.598593333
253,2.028374281,0.48600482,10.67291702,73%,0.375699974," 582,283,000.00 ",1.940943333
254,1.972789614,0.526024678,12.86635325,115%,0.543284838," 9,899,111,000.00 ",32.99703667
255,2.562811631,0.522093544,8.224110108,105%,0.502766364," 9,567,575,000.00 ",31.89191667
256,1.589667341,0.538995402,10,61%,0.279472184," 1,712,871,000.00 ",5.70957
257,2.218234027,0.510342161,7.870503597,43%,0.211482699," 1,697,000,000.00 ",5.656666667
258,1.891990887,0.483164954,3.004849588,63%,0.323255201," 2,476,668,000.00 ",8.25556
259,10.68949606,0.554963732,19.11681164,120%,0.533112726," 3,185,635,000.00 ",10.61878333
260,1.899785925,0.859573908,2.878769819,143%,0.201202748," 1,438,315,000.00 ",4.794383333
261,2.25293703,0.411516303,6.677978747,76%,0.447433851," 13,075,503,000.00 ",43.58501
262,18.92592104,0.052809541,10,8%,0.073392309," 6,928,727,000.00 ",23.09575667
263,4.456030499,0.4304304,15.85324568,84%,0.47616764," 3,341,470,000.00 ",11.13823333
264,4.245135944,0.228073797,10,63%,0.486086282," 1,870,068,000.00 ",6.23356
265,1.464361877,0.540621745,16.20643612,57%,0.261995295," 2,728,387,000.00 ",9.094623333
266,0.127451464,0.929206056,3.969468631,59%,0.041558728," (2,774,871,000.00)",-9.24957
267,1.913856868,0.435326197,11.45941111,43%,0.244358186," 747,969,000.00 ",2.49323
268,0.904713005,0.643076211,4.268890406,84%,0.300401274," (128,424,000.00)",-0.42808
269,1.824560597,0.550314541,8.755736915,84%,0.377518602," 13,508,613,000.00 ",45.02871
270,0.795517736,0.911001251,10,116%,0.103236532," (927,023,000.00)",-3.090076667
271,1.4254324,0.828428055,14.06896142,273%,0.467955361," 869,928,000.00 ",2.89976
