No,LIQUIDEZ,NIVEL DE ENDEUDAMIENTO ,Razón de Cobertura de intereses , Rentabilidad del Patrimonio ,Rentabilidad del Activo,CAPITAL DE TRABAJO,%K
28,9.70263488,0.716056599,35.61130605, 0.72 ,0.203490533,8548459000,1.666812418
29,1.546046598,0.626879641,16.01696762, 0.50 ,0.186867623,11013121000,2.147381983
30,2.010316577,0.634009193,19.97942473, 1.15 ,0.420541269,3273650000,0.638309252
31,14.36077638,0.725107886,17.48456604, 0.56 ,0.154118818,5749917000,1.121141607
32,2.434531274,0.578380181,7.209550198, 0.81 ,0.340221898,4170805000,0.81324009
33,5.947923331,0.57206214,10, 0.79 ,0.33611133,6303115000,1.229006345
34,5.850712108,0.674576554,10, 1.53 ,0.497317056,4626551000,0.902103251
35,1.709531534,0.681546111,10.54529723, 0.71 ,0.226104493,13449674000,2.622470745
36,9.63321691,0.705527614,10, 0.33 ,0.096157676,13021412000,2.538966522
37,10.83948079,0.705709836,5.192203856, 0.54 ,0.158982649,5694324000,1.110301863
38,5.00953397,0.671397415,46.70849941, 0.14 ,0.046522062,12488724000,2.435100905
39,3.241922394,0.553553204,366.9427899, 2.88 ,1.286675852,27415487000,5.345580317
40,4.68468667,0.627512317,10, 0.62 ,0.232794672,3494999000,0.681468758
41,3.329956606,0.601865097,10, 0.25 ,0.099023868,50148136000,9.77808232
42,12.78209818,0.636928111,4.804761869, 0.28 ,0.102244469,92777437000,18.09011239
43,2.128796846,0.647086813,18429.60597, 14.09 ,4.973920977,8955154000,1.746111421
44,18.64589611,0.842664843,10, 0.19 ,0.030493071,1528364000,0.29800647
45,10,0.803971525,10, 0.50 ,0.097611258,3534205000,0.689113299
46,2.00736339,0.622537925,10, 0.24 ,0.092267294,1.03811E+11,20.24146737
47,2.073251212,0.583091178,93.81525119, 10.23 ,4.264771327,23862822000,4.652867614
48,3.29782063,0.518983934,10, 1.34 ,0.6422379,18600858000,3.626869018
49,2.512655413,0.725518929,8.725304002, 0.60 ,0.16546315,28287346000,5.51557884
50,4.331622037,0.613981965,20.4110141, 0.25 ,0.095225161,14875166000,2.900418825
51,1.753031143,0.542889435,8.67545025, 0.38 ,0.173610894,1.81049E+11,35.30172219
52,13.39944369,0.548061607,21.34695867, 0.18 ,0.083147469,4934743000,0.962195749
53,1.700137358,0.579354362,126.2143654, 1.06 ,0.447057021,9135666000,1.781308366
54,1.636712242,0.576360478,10, 5.34 ,2.263755446,3102148000,0.604869112
55,2.162002162,0.5990144,10, 0.71 ,0.282751505,6324055000,1.233089309
56,4.535286424,0.662813786,7.723168301, 0.31 ,0.103956033,1662274000,0.324116773
57,7.946260957,0.593689014,10, 0.19 ,0.077917521,8660619000,1.688681819
58,2.515973252,0.705964318,10, 0.26 ,0.076377754,25424348000,4.957340143
59,3.928934557,0.59057858,21.79871482, 0.09 ,0.037315698,1.2307E+11,23.99674073
60,3.527133693,0.662589405,4.171737197, 0.29 ,0.098770625,8921952000,1.739637563
61,2.15776734,0.558955503,10, 1.08 ,0.476066458,8700456000,1.696449395
62,6.333188259,0.68855405,11.15546638, 0.72 ,0.224118448,38783569000,7.562174003
63,1.864423837,0.79724715,10, 0.78 ,0.158179234,7762960000,1.513652709
64,6.470381602,0.732227848,10, 1.23 ,0.330024287,2460512000,0.479760382
65,3.275082417,0.585987699,10, 1.77 ,0.73437847,4391901000,0.856350264
66,2.223501249,0.735479316,10, 0.73 ,0.192639655,6673579000,1.301240884
67,12.07221403,0.638465389,7.363617624, 0.16 ,0.058908267,40744120000,7.944450008
68,2.774221387,0.648875095,10, 0.25 ,0.087025474,23122542000,4.508524886
69,4.041022273,0.567249313,10, 0.16 ,0.069260592,39036423000,7.611476478
70,2.727547897,0.53150856,5.556619733, 0.47 ,0.220368384,17824162000,3.475425753
71,6.85362264,0.545365946,10, 0.12 ,0.055781159,49294246000,9.611587464
72,2.418969136,0.606364455,10, 0.14 ,0.056774795,27852274000,5.430746777
73,5.547708541,0.622139783,10, 0.07 ,0.025922073,6753711000,1.316865339
74,2.093425398,0.869164784,4.07343722, 0.58 ,0.07583031,11029979000,2.150669023
75,13.31532055,0.512433598,10, 0.70 ,0.339583314,13289056000,2.59115281
76,1.816181636,0.553032272,10, 0.28 ,0.12462815,1391908000,0.271399739
77,3.816519586,0.638793884,9.868859961, 0.54 ,0.194333169,4769176000,0.929912839
78,1.752633466,0.572326726,10, 0.50 ,0.215962607,2122391000,0.413832209
79,12.73342261,0.560908889,10, 0.09 ,0.03856683,2619909000,0.510840241
80,1.666498355,0.713041738,10, 0.28 ,0.079714671,4479972000,0.873522697
81,11.13706148,0.798505769,43.64015177, 0.19 ,0.03833787,29419719000,5.736373416
82,4.723772017,0.640477197,10, 0.21 ,0.077128757,1869341000,0.364491517
83,1.88916109,0.527095521,5.333394443, 0.33 ,0.15768139,11086714000,2.161731438
84,3.65220823,0.750500189,10, 0.73 ,0.18129501,17070071000,3.328390101
85,3.064902306,0.652619333,10, 0.41 ,0.142584137,34256944000,6.679554719
86,1.61312942,0.649543913,20.03940148, 0.47 ,0.164664912,3426410000,0.668095002
87,16.69133493,0.861846506,36.19921579, 2.64 ,0.364543665,8364423000,1.630928349
88,6.553305998,0.66739949,37.76319184, 0.22 ,0.07325936,14013540000,2.732415572
